1533753250,42.5857,-88.5242,10697
1533753300,42.584,-88.5181,10767
1533753350,42.5824,-88.512,10837
1533753400,42.5808,-88.5058,10907
1533753450,42.5792,-88.4995,10977
1533753500,42.5777,-88.493,11047
1533753550,42.5762,-88.4865,11117
1533753600,42.5748,-88.4799,11187
1533753650,42.5734,-88.4731,11257
1533753700,42.5721,-88.4663,11327
1533753750,42.5708,-88.4594,11397
1533753800,42.5696,-88.4523,11467
1533753850,42.5684,-88.4451,11537
1533753900,42.5673,-88.4378,11607
1533753950,42.5662,-88.4303,11677
1533754000,42.5653,-88.4227,11747
1533754050,42.5643,-88.4149,11817
1533754100,42.5635,-88.4071,11887
1533754150,42.5627,-88.399,11957
1533754200,42.562,-88.3909,12027
1533754250,42.5613,-88.3826,12097
1533754300,42.5608,-88.3742,12167
1533754350,42.5602,-88.3656,12237
1533754400,42.5598,-88.357,12307
1533754450,42.5594,-88.3484,12377
1533754500,42.5591,-88.3398,12447
1533754550,42.5588,-88.3311,12517
1533754600,42.5587,-88.3223,12587
1533754650,42.5585,-88.3135,12657
1533754700,42.5585,-88.3047,12727
1533754750,42.5585,-88.2959,12797
1533754800,42.5586,-88.287,12867
1533754850,42.5588,-88.2781,12937
1533754900,42.559,-88.2691,13007
1533754950,42.5593,-88.2601,13077
1533755000,42.5596,-88.2511,13147
1533755050,42.56,-88.2421,13217
1533755100,42.5604,-88.2331,13287
1533755150,42.5608,-88.2241,13357
1533755200,42.5612,-88.2151,13427
1533755250,42.5617,-88.206,13497
1533755300,42.5621,-88.197,13567
1533755350,42.5626,-88.188,13637
1533755400,42.5631,-88.179,13707
1533755450,42.5637,-88.17,13777
1533755500,42.5642,-88.161,13847
1533755550,42.5648,-88.152,13917
1533755600,42.5654,-88.1429,13987
1533755650,42.5659,-88.1339,14057
1533755700,42.5665,-88.125,14127
1533755750,42.567,-88.1161,14197
1533755800,42.5674,-88.1074,14267
1533755850,42.5678,-88.0988,14337
1533755900,42.5681,-88.0903,14407
1533755950,42.5683,-88.0819,14477
1533756000,42.5685,-88.0737,14547
1533756050,42.5686,-88.0655,14617
1533756100,42.5686,-88.0575,14687
1533756150,42.5686,-88.0496,14757
1533756200,42.5684,-88.0419,14827
1533756250,42.5683,-88.0342,14897
1533756300,42.568,-88.0267,14967
1533756350,42.5677,-88.0193,15037
1533756400,42.5673,-88.0121,15107
1533756450,42.5669,-88.0049,15177
1533756500,42.5663,-87.9979,15247
1533756550,42.5658,-87.9911,15317
1533756600,42.5653,-87.9843,15387
1533756650,42.5648,-87.9777,15457
1533756700,42.5642,-87.9712,15527
1533756750,42.5637,-87.9649,15597
1533756800,42.5632,-87.9587,15667
1533756850,42.5627,-87.9526,15737
1533756900,42.5622,-87.9467,15807
1533756950,42.5617,-87.9409,15877
1533757000,42.5612,-87.9352,15947
1533757050,42.5607,-87.9297,16017
1533757100,42.5602,-87.9243,16087
1533757150,42.5597,-87.919,16157
1533757200,42.5592,-87.9138,16227
1533757250,42.5587,-87.9088,16297
1533757300,42.5582,-87.9039,16367
1533757350,42.5577,-87.8991,16437
1533757400,42.5572,-87.8945,16507
1533757450,42.5567,-87.89,16577
